Generated on DKR10 at https://github.com/polgreen/BaeVer/commit/e657bde4879526c0533e9fb3e40e34a4b666374a,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 16 , 70 , 490 , 2788 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 5 , 41 , 469 , 2857 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 22 , 85 , 493 , 2760 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 18 , 85 , 679 , 2697 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 32 , 118 , 615 , 2662 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 33 , 118 , 617 , 2647 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 14 , 70 , 671 , 2758 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 41 , 137 , 648 , 2586 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 25 , 91 , 647 , 2693 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 21 , 89 , 682 , 2661 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 25 , 102 , 673 , 2666 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 32 , 117 , 627 , 2631 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 27 , 107 , 667 , 2649 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 27 , 103 , 716 , 2630 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 34 , 112 , 640 , 2638 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 46 , 146 , 611 , 2565 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 6 , 45 , 673 , 2783 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 32 , 117 , 708 , 2627 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 26 , 99 , 667 , 2671 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 0 , 0 , 37 , 128 , 632 , 2645 , 
