Generated on DKR11 at https://github.com/polgreen/BaeVer/commit/e657bde4879526c0533e9fb3e40e34a4b666374a,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,

MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0179 , 5 , 19 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0385 , 4 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0084 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0077 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0309 , 4 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0004 , 1 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0042 , 2 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0 , 1 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0005 , 1 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.1358 , 7 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0001 , 1 , 17 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0111 , 2 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.029 , 6 , 20 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0029 , 2 , 15 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0067 , 4 , 19 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0018 , 2 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0163 , 3 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0032 , 2 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0473 , 5 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0068 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0049 , 2 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0241 , 3 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0144 , 4 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0107 , 3 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0593 , 4 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0018 , 1 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0236 , 3 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0485 , 5 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0468 , 5 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0067 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0061 , 3 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.038 , 4 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0565 , 4 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0415 , 7 , 21 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0002 , 1 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0026 , 2 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0464 , 3 , 11 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0003 , 1 , 14 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0336 , 3 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0821 , 7 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0001 , 1 , 16 , 4 , 3 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.007 , 5 , 22 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.4527 , 10 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0034 , 1 , 11 , 2 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0361 , 3 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0037 , 2 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0082 , 3 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.2096 , 7 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0041 , 4 , 20 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0569 , 4 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0076 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0381 , 5 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0032 , 2 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0096 , 4 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0029 , 2 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0323 , 5 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0458 , 3 , 11 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0047 , 3 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0038 , 1 , 11 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0843 , 7 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0164 , 5 , 19 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0597 , 6 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0168 , 2 , 11 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0416 , 4 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.052 , 3 , 11 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0218 , 3 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.083 , 6 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0071 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0319 , 3 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0116 , 2 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0049 , 2 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0068 , 3 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0018 , 2 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0059 , 2 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0006 , 2 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0688 , 8 , 21 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0011 , 2 , 18 , 4 , 6 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.1063 , 5 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0007 , 1 , 15 , 2 , 8 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0608 , 5 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0146 , 3 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0635 , 5 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0747 , 4 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0392 , 7 , 21 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0092 , 4 , 19 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0072 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0338 , 5 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0283 , 4 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0128 , 3 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0548 , 5 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0037 , 2 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0442 , 5 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.022 , 3 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0025 , 2 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0111 , 3 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0114 , 3 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.3199 , 9 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0176 , 3 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0092 , 3 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 0 , 0.0075 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0599 , 5 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0165 , 3 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0166 , 5 , 20 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0318 , 5 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0463 , 5 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0073 , 3 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.2207 , 6 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0067 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0422 , 5 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0641 , 6 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0242 , 3 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0108 , 2 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0018 , 1 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0186 , 4 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0196 , 5 , 19 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0548 , 4 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0474 , 5 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0207 , 4 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0017 , 1 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.015 , 4 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0328 , 3 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0472 , 6 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0164 , 3 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0516 , 4 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0035 , 4 , 21 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0171 , 3 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0114 , 3 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0782 , 4 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.1089 , 6 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.1013 , 9 , 21 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0479 , 5 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0218 , 5 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0813 , 5 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0132 , 3 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0779 , 4 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.3496 , 8 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0707 , 4 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0408 , 4 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0244 , 5 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.5753 , 10 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0065 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0213 , 3 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0033 , 3 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0167 , 4 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0055 , 2 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.1029 , 7 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0788 , 4 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0226 , 4 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0798 , 5 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0019 , 3 , 19 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.4362 , 9 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0829 , 5 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0241 , 5 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0116 , 5 , 20 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0047 , 4 , 21 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0147 , 4 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0032 , 2 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0044 , 2 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0235 , 3 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0813 , 5 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0815 , 5 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0784 , 5 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0107 , 2 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0793 , 5 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.008 , 3 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.2395 , 8 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.212 , 7 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.084 , 6 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0747 , 4 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.5225 , 13 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.002 , 1 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0223 , 4 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0015 , 2 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0025 , 2 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0156 , 4 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0033 , 2 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.1507 , 10 , 21 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0529 , 4 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0448 , 6 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0116 , 3 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0332 , 5 , 17 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0461 , 5 , 16 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0078 , 2 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0507 , 3 , 11 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0001 , 1 , 18 , 3 , 7 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0551 , 4 , 13 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.1044 , 4 , 11 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0505 , 6 , 18 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0337 , 3 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0005 , 1 , 15 , 3 , 7 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0184 , 5 , 19 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.03 , 4 , 15 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0395 , 4 , 14 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0061 , 3 , 17 , 2 , 4 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.8246 , 4 , 2 , 7 , 27 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0015 , 1 , 12 , 1 , 1 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0014 , 2 , 17 , 2 , 4 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0015 , 1 , 14 , 1 , 4 , 
MDP , 3 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 0 , 0.0035 , 3 , 18 , 1 , 1 , 
