Generated on DKR11 at https://github.com/polgreen/BaeVer/commit/e657bde4879526c0533e9fb3e40e34a4b666374a,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,

MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0004 , 10 , 46 , 4 , 25 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 6 , 35 , 14 , 49 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0046 , 11 , 39 , 11 , 35 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0049 , 6 , 26 , 5 , 44 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 4 , 37 , 5 , 34 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0001 , 4 , 35 , 7 , 37 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0002 , 5 , 35 , 6 , 47 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0002 , 5 , 36 , 6 , 31 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0404 , 9 , 25 , 9 , 23 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0009 , 7 , 34 , 8 , 26 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.04 , 9 , 28 , 9 , 49 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 8 , 45 , 11 , 31 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 4 , 30 , 8 , 42 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0019 , 6 , 30 , 10 , 44 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0018 , 9 , 38 , 9 , 28 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 3 , 32 , 4 , 22 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0014 , 5 , 26 , 5 , 39 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 4 , 37 , 8 , 39 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 2 , 36 , 5 , 26 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 7 , 40 , 5 , 31 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.2419 , 15 , 27 , 11 , 57 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 4 , 37 , 5 , 43 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 6 , 53 , 7 , 39 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0001 , 7 , 40 , 8 , 23 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0007 , 4 , 28 , 14 , 61 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 6 , 31 , 6 , 37 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0872 , 16 , 36 , 9 , 46 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.002 , 10 , 39 , 11 , 46 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0 , 4 , 48 , 4 , 19 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0023 , 5 , 26 , 10 , 33 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.0002 , 4 , 30 , 11 , 42 , 
MDP , 3 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 1 , 0.01 , 10 , 39 , 9 , 32 , 
