Generated on DKR11 at https://github.com/polgreen/BaeVer/commit/e657bde4879526c0533e9fb3e40e34a4b666374a,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,

MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1833 , 4 , 9 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.27 , 1 , 2 , 2 , 10 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.47 , 2 , 3 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.185 , 1 , 3 , 2 , 7 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.04 , 1 , 6 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1198 , 1 , 4 , 1 , 13 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.11 , 1 , 4 , 2 , 7 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.03 , 1 , 5 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.0235 , 1 , 7 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2 , 1 , 3 , 2 , 10 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.25 , 2 , 5 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1795 , 1 , 3 , 2 , 7 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1945 , 2 , 5 , 3 , 6 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.17 , 2 , 5 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.18 , 1 , 3 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2 , 3 , 7 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.17 , 2 , 5 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2 , 1 , 3 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.33 , 2 , 4 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.4083 , 2 , 3 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1801 , 1 , 3 , 3 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2832 , 2 , 4 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.6657 , 6 , 6 , 2 , 7 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.4387 , 1 , 1 , 2 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.0947 , 2 , 7 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2851 , 1 , 2 , 4 , 10 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.24 , 1 , 2 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2849 , 1 , 2 , 2 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.02 , 1 , 8 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1961 , 2 , 5 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1813 , 1 , 3 , 2 , 7 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.29 , 1 , 2 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.4397 , 1 , 1 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2943 , 1 , 2 , 2 , 13 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.0395 , 2 , 9 , 2 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1173 , 1 , 4 , 3 , 3 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.0402 , 1 , 6 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.28 , 2 , 4 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1064 , 1 , 4 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.05 , 1 , 5 , 1 , 7 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.132 , 2 , 6 , 3 , 3 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.0718 , 1 , 5 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.13 , 1 , 4 , 1 , 4 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.3992 , 2 , 3 , 2 , 7 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.106 , 1 , 4 , 4 , 6 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2035 , 3 , 7 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.0146 , 1 , 8 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2945 , 2 , 4 , 2 , 7 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.008 , 1 , 9 , 4 , 3 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.22 , 1 , 3 , 3 , 6 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.23 , 1 , 3 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.1719 , 1 , 3 , 1 , 1 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.55 , 4 , 5 , 1 , 7 , 
MDP , 3 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 1 , 0.2901 , 1 , 2 , 2 , 10 , 
