DKR10
Branch BrianMDP
Commit: 40af17f Added support to compute confidence, trace-by-trace.

MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 1 , 1 , 15 , 0.4955 , 1 , 1 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 2 , 1 , 15 , 0.3499 , 1 , 2 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 3 , 1 , 15 , 0.3428 , 1 , 2 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 4 , 1 , 15 , 0.3507 , 1 , 2 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 5 , 1 , 15 , 0.3511 , 1 , 2 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 6 , 1 , 15 , 0.2294 , 1 , 3 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 7 , 1 , 15 , 0.227 , 1 , 3 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 8 , 1 , 15 , 0.2271 , 1 , 3 , 1 , 4 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 9 , 1 , 15 , 0.1404 , 1 , 4 , 1 , 4 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 10 , 1 , 15 , 0.142 , 1 , 4 , 1 , 5 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 1 , 1 , 20 , 0.4955 , 1 , 1 , 1 , 2 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 2 , 1 , 20 , 0.3499 , 1 , 2 , 1 , 2 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 3 , 1 , 20 , 0.3428 , 1 , 2 , 1 , 2 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 4 , 1 , 20 , 0.3507 , 1 , 2 , 1 , 2 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 5 , 1 , 20 , 0.3511 , 1 , 2 , 1 , 2 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 6 , 1 , 20 , 0.2294 , 1 , 3 , 1 , 2 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 7 , 1 , 20 , 0.227 , 1 , 3 , 1 , 2 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 8 , 1 , 20 , 0.1455 , 1 , 4 , 1 , 4 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 9 , 1 , 20 , 0.142 , 1 , 4 , 1 , 4 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 10 , 1 , 20 , 0.0921 , 1 , 5 , 1 , 4 , 
