Generated on DKR10 at https://github.com/polgreen/BaeVer/commit/e657bde4879526c0533e9fb3e40e34a4b666374a,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,

MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 85 , 359 , 67 , 351 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 57 , 338 , 86 , 441 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 58 , 347 , 54 , 322 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 68 , 359 , 77 , 422 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 42 , 360 , 59 , 347 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 62 , 323 , 57 , 344 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 69 , 351 , 58 , 356 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 58 , 366 , 65 , 341 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 49 , 331 , 44 , 304 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 67 , 358 , 64 , 356 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 68 , 355 , 55 , 367 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 58 , 343 , 70 , 363 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 57 , 375 , 61 , 359 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 60 , 329 , 72 , 436 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 50 , 312 , 64 , 395 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 74 , 367 , 60 , 346 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 57 , 379 , 85 , 377 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 66 , 365 , 69 , 346 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 70 , 338 , 58 , 359 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 77 , 363 , 69 , 392 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 75 , 359 , 53 , 359 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 67 , 372 , 68 , 338 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 70 , 356 , 79 , 407 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 57 , 347 , 58 , 363 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 68 , 348 , 52 , 324 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 80 , 384 , 64 , 321 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 67 , 350 , 87 , 416 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 52 , 347 , 77 , 376 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 65 , 338 , 60 , 383 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 61 , 369 , 73 , 312 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 74 , 389 , 70 , 338 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 75 , 314 , 66 , 338 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 54 , 312 , 60 , 343 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 71 , 363 , 62 , 365 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 61 , 368 , 56 , 343 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 69 , 398 , 61 , 419 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 63 , 362 , 62 , 401 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 75 , 350 , 58 , 322 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 67 , 360 , 55 , 378 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 41 , 341 , 61 , 373 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 34 , 313 , 48 , 362 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 82 , 383 , 56 , 355 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 60 , 343 , 71 , 385 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 66 , 336 , 75 , 363 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 67 , 339 , 83 , 364 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 63 , 379 , 60 , 347 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 41 , 337 , 70 , 375 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 59 , 337 , 90 , 367 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 59 , 350 , 62 , 359 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 1 , 0 , 73 , 357 , 68 , 376 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 92 , 350 , 74 , 326 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 102 , 368 , 95 , 356 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 104 , 357 , 77 , 307 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 94 , 341 , 90 , 397 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 74 , 342 , 97 , 360 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 108 , 396 , 87 , 330 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 95 , 384 , 75 , 337 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 94 , 352 , 73 , 325 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 83 , 384 , 73 , 333 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 94 , 364 , 85 , 383 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 98 , 366 , 94 , 381 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 93 , 387 , 84 , 388 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 97 , 349 , 87 , 336 , 
MDP , 3 , 1 , 0.2 , 0.2 , 1000 , 10 , 10000 , 1 , 0 , 98 , 388 , 79 , 334 , 
